name	latitude_deg	longitude_deg
Total Rf Heliport	40.07080078	-74.93360138
Lowell Field	59.94919968	-151.6959991
Epps Airpark	34.8647995	-86.77030182
Newport Hospital & Clinic Heliport	35.6086998	-91.25489807
Cordes Airport	34.30559921	-112.1650009
Goldstone /Gts/ Airport	35.3504982	-116.8880005
Cass Field	40.62220001	-104.3440018
Grass Patch Airport	28.64550018	-82.21900177
Ringhaver Heliport	28.84659958	-82.34539795
River Oak Airport	27.23089981	-80.96920013
Lt World Airport	33.76750183	-84.06829834
Caffrey Heliport	33.88420105	-84.73390198
Kaupulehu Heliport	19.83250046	-155.9819946
Delta Shores Airport	48.14530182	-116.2139969
Bailey Generation Station Heliport	41.64450073	-87.12280273
Hammer Airport	41.97840118	-89.56040192
St Mary Medical Center Heliport	41.51139832	-87.26059723
Hayenga's Cant Find Farms Airport	40.02560043	-89.12290192
Hayden Farm Airport	38.72779846	-94.93049622
Robbins Roost Airport	37.40940094	-84.61969757
Shell Chemical East Site Heliport	30.191944	-90.980833
Ac & R Components Heliport	39.66529846	-89.70559692
Lejeune Airport	30.13629913	-92.42939758
Slater Field	38.75709915	-75.75379944
Dow Chemical Heliport	43.94940186	-86.41670227
Battle Lake Municipal Airport	46.29999924	-95.70030212
Cooper Flying Service Airport	37.20280075	-94.41239929
Sands Ranch Airport	48.53749847	-109.7050018
Bucks Airport	39.47320175	-75.18520355
North Raleigh Airport	36.08520126	-78.37139893
Colgate-Piscataway Heliport	40.52090073	-74.47460175
Weiss Airfield	42.90010071	-77.49970245
Exit 3 Airport	41.59090042	-84.14219666
Miami Valley Hospital Heliport	39.74530029	-84.18740082
Steel Systems Heliport	44.93289948	-123.1299973
R J D Heliport	39.94889832	-75.74690247
Ferrell Field	41.2995	-80.211111
Thomas Field	40.37779999	-77.36530304
Mc Kenzie Bridge State Airport	44.18320084	-122.0889969
Flying O Airport	34.00939941	-80.26719666
Sw Region Faa Heliport	32.82690048	-97.30580139
Tcjc-Northeast Campus Heliport	32.84759903	-97.1894989
Ragsdale Road Airport	35.51589966	-85.95359802
Alpine Range Airport	32.60760117	-97.24199677
San Jacinto Methodist Hospital Heliport	29.73769951	-94.98020172
Clear Creek Ranch Airport	37.24779892	-112.8219986
Vaughan Airport	36.57600021	-78.9991684
Groundhog Mountain Airport	36.66329956	-80.49949646
Lower Granite State Airport	46.67350006	-117.4430008
Howell Airport	47.17839813	-122.7720032
Northern Lite Airport	44.3042984	-89.05010223
Hawks Run Airport	46.25	-117.2490005
Lazy J. Aerodrome	38.82889938	-79.8660965
L P Askew Farms Airport	33.03340149	-101.9339981
Purkeypile Airport	62.9435997	-152.2700043
Providence Seward Medical Center Heliport	60.10587398	-149.446249
Ware Island Airport	32.94599915	-86.51390076
Community Hospital of De Queen Heliport	34.04729843	-94.35489655
Yat Heliport	34.60810089	-111.8649979
Grant Airport	43.34170151	-85.77500153
Lugo Substation Heliport	34.36824059	-117.3700587
Swansboro Country Airport	38.79990005	-120.7340012
Los Angeles County Sheriff's Department Heliport	34.03779984	-118.1539993
St Vincent General Hospital Heliport	39.24530029	-106.2460022
Berlin Fairgrounds Heliport	41.62730026	-72.72750092
Rybolt Ranch Airport	28.58939934	-81.14420319
Florida Hospital-Altamonte Heliport	28.66640091	-81.37059784
Cedar Knoll Flying Ranch Airport	28.78190041	-81.15920258
Medical Center Heliport	32.47930145	-84.97910309
The Farm Airport	32.67440033	-82.77110291
Stender Airport	41.66109848	-90.74130249
Lava Hot Springs Airport	42.60820007	-112.0319977
Myers Field	39.88499832	-86.50669861
Hoopeston Community Memorial Hospital Heliport	40.45859909	-87.65950012
Community Hospital Heliport	40.13090134	-85.69580078
William E. Koenig Airport	39.01620102	-90.31819916
Hilliard Airpark	30.68630028	-81.90570068
Caldwell Municipal Airport	37.03609848	-97.58640289
Flying N Ranch Airport	38.54059982	-97.00330353
Lourdes Hospital Heliport	37.05170059	-88.64689636
Barham Airport	32.63899994	-91.7736969
Schumaier Restricted Landing Area	38.12580109	-89.46389771
Country Breeze Airport	30.70599937	-91.07740021
Compaq Andover Heliport	42.62509918	-71.18009949
Annapolis Seaplane Base	38.99919891	-76.45600128
Saint Peter's Seaplane Base	46.77890015	-68.50029755
Flow Through Terminal Heliport	43.04949951	-83.67970276
Barnes Seaplane Base	47.89960098	-92.55740356
Highway Patrol Troop C Headquarters Heliport	38.64170074	-90.48429871
Crystal Lakes Resort Airport	48.78910065	-114.8799973
Topsail Airpark	34.47529984	-77.58139801
Detour Airport	40.84360123	-100.6529999
Moore Airfield	43.64450073	-72.08699799
Albert Guido Memorial Heliport	40.7417984	-74.13710022
Champion Ranch Airport	33.008611	-104.540278
Lantana Ranch Airport	38.76390076	-119.0270004
Vassar Hospital Heliport	41.70009995	-73.94960022
Galion Community Hospital Heliport	40.73059845	-82.8015976
Lawrence Airport	35.29449844	-98.6364975
Red & White Flying Service Airport	43.11930084	-121.0449982
Pine Heliport	40.6556015	-80.05090332
Bierly(Personal Use) Airport	40.93059921	-77.73889923
Nort's Resort Airport	41.59590149	-76.02960205
York Airport	35.03210068	-81.25279999
Thirty Thirty Matlock Office Center Heliport	32.69419861	-97.11579895
Smith Field	32.73759842	-96.4280014
Colonial Air Park	34.9958992	-89.73059845
St Joseph Hospital Heliport	32.72850037	-97.32450104
Mims Farm Ultralightport	32.38759995	-96.87750244
Duckwater Airport	38.85160065	-115.6340027
La Sal Junction Airport	38.30830002	-109.3960037
Pickles Airport	39.125	-77.92500305
Willapa Harbor Heliport	46.66320038	-123.8119965
Prehn Cranberry Company Airport	44.00999832	-90.3891983
Whidbey General Hospital Heliport	48.21340179	-122.6849976
Odyssey Heliport	47.518178	-122.210908
Keyhole Airport	44.34719849	-104.810997
Seton Medical Center Hays Heliport	30.007222	-97.853333
Meadowood Ranch Heliport	32.02019882	-95.74549866
Rustic Wilderness Airport	61.87689972	-150.0980072
Bass Field	30.37150002	-87.76439667
Three Rivers Airport	34.82244492	-92.44441986
Winchester Farm Airstrip	32.37639999	-109.9369965
Swepi Beta Platform Ellen Heliport	33.58250046	-118.1289978
Shannon Field	34.12960052	-90.52400208
Conover Air Lodge Airport	34.76110077	-119.0589981
Mc Cullough Airport	37.6432991	-106.0469971
Strangers Point Heliport	41.91960144	-72.44450378
Osborn Airfield	28.52669907	-81.87480164
Cuchens Airport	30.642778	-86.123889
Doug Bolton Field	34.20259857	-83.42900085
Etowah Fields Airport	34.1753006	-84.92440033
K3 Helipad Heliport	21.36199951	-157.951004
Boone County Hospital Heliport	42.05609894	-93.87799835
Morgan Ranch Airport	44.55550003	-115.3050003
King Ultralightport	40.06230164	-86.21050262
Diamond P. Field	40.20890045	-85.540802
Condell Medical Center Heliport	42.27460098	-87.95729828
Jmj Landing Airport	39.22219849	-96.05529785
Boone National Guard Heliport	38.1833992	-84.89990234
La State Police Troop G Heliport	32.53129959	-93.66020203
Windy Hill Heliport	30.14830017	-91.91899872
Cuttyhunk Heliport	41.41960144	-70.92700195
Old Acton Airfield	43.53730011	-70.92939758
Fairplains Airpark	43.15710068	-85.14849854
Greenbush Municipal Airport	48.68330002	-96.19200134
Troy Airpark	39.04999924	-91.03350067
Watts Field	34.10010147	-90.84680176
Barrett Field	47.23740005	-111.7419968
Timber Line Airpark	36.65420151	-93.79740143
Race City Heliport	35.541111	-80.597778
Benes Service Airport	41.07450104	-96.90450287
Iroquois Landing Seaplane Base	44.65710068	-71.21910095
Penske Heliport	40.55730057	-74.46710205
Paiute Meadows Airport	41.30329895	-118.5979996
Hansen Heliport	43.13259888	-75.65550232
Zimmerman Airport	41.37639999	-83.08329773
Murtha Airport	41.80199814	-80.56539917
Canon Heliport	35.45840073	-97.52529907
Rowena Dell Airport	45.68149948	-121.3160019
Stottle Memorial Heliport	40.40359879	-77.55660248
Lag Iii Heliport	40.43830109	-79.76999664
Peco Berwyn Heliport	40.06959915	-75.4552002
Cuylers Airport	18.45330048	-66.36689758
Hughes Ultralightport	41.90060043	-77.2303009
Harpers Airport	32.75849915	-81.22480011
Wise River Airport	45.76910019	-112.9820023
Matagorda Shore Facility Heliport	28.72139931	-95.87380219
Baylor Medical Center Heliport	32.395401	-96.86419678
Ellis Field	35.7806015	-86.584198
Fwomc Heliport	32.74760056	-97.37000275
The Palms At Kitty Hawk Airport	33.37040329	-101.9228821
Lucin Airport	41.36629868	-113.8430023
The Greenhouse Airport	38.43569946	-77.85720062
Northstar Aviation Heliport	36.63880157	-82.11669922
Cawleys South Prairie Airport	47.15230179	-122.0940018
Beer Airport	45.0318985	-92.65579987
Fowler Field	48.74580002	-119.3190002
Seidel Ranch Airport	30.14769936	-97.66280365
Joe Clouds Seaplane Base	60.72722244	-151.132782
Jackson County Hospital Heliport	34.66249847	-86.04720306
Hscmh Heliport	34.35760117	-92.78849792
Thompson International Aviation Airport	31.4333992	-110.0839996
Grossmont Hospital Heliport	32.77980042	-117.0059967
Kugel-Strong Airport	40.21250153	-104.7440033
Lake Persimmon Airstrip	27.35309982	-81.40809631
Tharpe Airport	30.8288002	-85.73100281
Ranger Heliport	26.68370056	-80.18730164
Clarks Dream Strip	39.64419937	-83.01820374
East Field	41.58190155	-92.46130371
Flying Y Ranch Airport	44.79430008	-116.5329971
Davis Field Ultralightport	37.9620018	-87.77890015
Wix Airport	41.40230179	-87.8167038
Heinzman Airport	40.18000031	-86.01249695
St Anthony's Hospital Heliport	38.90499878	-90.17340088
Valley Grain Heliport	39.86470032	-95.26409912
Flying H Farms Airport	37.79169846	-87.54139709
Damien Heliport	30.19960022	-91.12789917
Fmc Nr 1 Heliport	32.1590004	-91.70800018
Lakeside Marina Seaplane Base	44.32089996	-69.88950348
Hadley Airport	42.39310074	-72.55200195
Upper Chesapeake Medical Center Heliport	39.52249908	-76.3266983
Maple Ridge Airport	44.08420181	-70.62729645
Harold Miller Heliport	43.55089951	-83.86219788
Nauerth Land Ranch Airport	43.62519836	-95.22470093
Cahoochie Airport	37.8844986	-93.13159943
Vicksburg Medical Center Heliport	32.31880188	-90.8832016
Cascade Airport	47.27080154	-111.7220001
Mc Donnell Airport	38.49250031	-94.41249847
Utirik Airport	11.22200012	169.852005
Pilots Ridge Airport	34.10430145	-77.90419769
Olafson Brothers Airport	48.62639999	-97.82900238
Hyde Ranch Airport	41.54639816	-99.33119965
Lorden Heliport	42.81539917	-71.12439728
At&T Heliport	40.66870117	-74.41069794
Llama Ranch Airport	40.58440018	-115.2979965
Talmage Field	40.95840073	-72.71679688
Gibbs Field	41.41839981	-83.01740265
Marymount Hospital Heliport	41.42089844	-81.59980011
Sahoma Lake Airport	36.04119873	-96.16139984
Powwatka Ridge Airport	45.85540009	-117.4840012
Collegeville Heliport	40.16289902	-75.46569824
M.P. Metals Heliport	41.066861	-76.180806
Ziggy's Field	40.84999847	-77.9056015
Sandy River Airport	45.40179825	-122.2289963
Seacoast Medical Center Heliport	33.86500168	-78.66190338
Gay Hill Farm Airport	30.26269913	-96.50019836
Barronena Ranch Airport	27.49110031	-98.66950226
Eagles Landing Heliport	35.92250061	-83.57939911
Shannon Medical Center Heliport	31.4598999	-100.4380035
M D K Field	29.58160019	-95.30719757
A Z Minerals Corporation Airport	37.12080002	-109.9860001
Whipoorwill Springs Airport	38.66460037	-77.57969666
Spangle Field	47.40819931	-117.3720016
Zink Airport	44.02750015	-88.88089752
Aerostone Ranch Airport	45.875	-120.6699982
Creekside Airport	31.31809998	-100.7539978
Anniston AHP (Anniston Army Depot)	33.62639999	-85.96720123
Saline Memorial Hospital Heliport	34.57400131	-92.582901
Chinle Airport	36.15420151	-109.5510025
Gray Butte Field	34.56389999	-117.6750031
Hunt's Sky Ranch Airport	33.08169937	-116.4410019
Shingle Mill Heliport	41.75510025	-73.05239868
De Leon Municipal Airport	32.09880066	-98.52529907
Richards Field	25.55870056	-80.51509857
Cross Creek Farms Airport	29.23940086	-81.22200012
Columbus Southwest Airport	39.91120148	-83.188797
Middlekoop Airport	41.0882988	-92.05460358
Lanham Field	43.87770081	-116.5370026
Turkey Run Airport	41.13059998	-84.99410248
Schertz Aerial Service - Hudson Airport	40.63750076	-89.00700378
Lake Gage Seaplane Base	41.701389	-85.113056
Van Gorder Airport	40.17860031	-88.56900024
Robinson Industries Heliport	38.97890091	-95.21970367
Natchez Trace Farm Airport	37.13510132	-85.78939819
St James Heliport	30.051111	-90.702222
Brunner Airport	42.13610077	-88.28759766
La National Guard Heliport	30.44610023	-91.1053009
Goddard Field (Airport)	42.80979919	-71.1391983
Chesapeake City Heliport	39.51810074	-75.8214035
Beech Hill Airport	44.66669846	-69.89389801
Rapids Airway Airport	42.53450012	-84.62830353
Helblad Airport	47.9858017	-94.68689728
Airpark Private Airport	39.30120087	-91.45149994
Nick's Flying Service Inc Airport	32.9396019	-90.83730316
Pluhar Airport	47.13749778	-106.488095
Western Wake Medical Center Heliport	35.73920059	-78.78220367
Mc Connell Field Airport	41.15999985	-101.2990036
Emmanuel Airport	39.59680176	-75.23349762
Kingston Ranch Airport	35.75550079	-115.6650009
Klaverack Airport	42.26229858	-73.69619751
Teufel Heliport	45.530833	-123.085556
Bossow Airport	41.24769974	-81.10070038
Stillwater Medical Center Heliport	36.11529922	-97.07949829
Collins Landing Strip	44.74990082	-120.2009964
S & C Distribution Center Heliport	39.87929916	-75.22879791
Strawbridge & Clothier Exton Heliport	40.0306619	-75.63021
Emergency Helipad	34.84059906	-82.60690308
Capitol National Bank Building Heliport	30.27104167	-97.74469757
Veterans Affairs Medical Center Heliport	29.70019913	-95.38739777
Hensley Airpark	36.18330002	-82.67890167
Hummingbird Heliport	30.55349922	-97.60610199
Pocock Airport	31.73220062	-97.36889648
Navajo Mountain Airport	37.00830078	-110.7949982
Saguache Municipal Airport	38.0990833	-106.1743889
Russell County Medical Center Heliport	36.898	-82.078
Manquin Flight Park Ultralightport	37.71440125	-77.21179962
Lightning Bolt Field Airport	44.40110016	-72.26360321
Field of Dreams Airport	46.02280045	-92.895401
Ox Meadows Airport	47.58179855	-117.4369965
Dutch Gap Airstrip	42.52339935	-88.01670074
Stillwater Creek Airport	46.963889	-119.641667
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport	39.65361111	-79.95611111
Napiers Heliport	32.58209991	-97.14250183
Wasilla Creek Airpark	61.66830063	-149.1880035
Allen Stagefield Army Heliport	31.23119926	-85.64969635
Ozark Skies Airpark	36.000633	-93.57025
Yuma Regional Medical Center Heliport	32.68280029	-114.6340027
Van Buren Seaplane Base	47.15890121	-67.93199921
Lost Hills Sheriff's Station Heliport	34.13779831	-118.7139969
Pope Valley Airport	38.6106987	-122.3909988
Rancho De Aereo Airport	40.2149839	-104.9844228
O And G Heliport	41.77370071	-73.11620331
Melanie's Airport	30.91889954	-86.21829987
Aventura Heliport	25.96089935	-80.1391983
Charlton Strip	26.5230999	-81.40830231
Raju Airport	32.07139969	-84.71440125
Spotts Field	43.13750076	-93.06829834
Running Creek Ranch Airport	45.91410065	-114.8359985
Reichhart Airport	41.02870178	-84.99720001
Classic Landings Airport	41.15670013	-88.01670074
Cooper Airport	39.64199829	-86.5042038
Hardy Airport	39.72589874	-89.26399994
Darbro Field	37.26620102	-95.959198
Cartersville Airport	37.53689957	-84.40720367
Greg's Flying Service Airport	32.26530075	-91.69779968
Midwest Heliport	41.74890137	-87.93509674
Grass Roots Airport	31.25219917	-92.47579956
Pauls Valley General Hospital Heliport	34.71969986	-97.21399689
Bentley Heliport	42.69120026	-70.91230011
Breezecroft Airport	39.25009918	-76.2052002
Drisko Airport	44.6570015	-67.55919647
Portageville Community Heliport	36.42979813	-89.68009949
Va Medical Center Jackson Heliport	32.31890106	-90.16809845
Brunswick Community Hospital Heliport	34.0080986	-78.29109955
Mc Kay Airport	41.72219849	-98.30899811
Stumpfield Heliport	42.9239006	-70.95140076
Paulus Hook Pier Heliport	40.7140007	-74.03150177
Oswego County At Pulaski Heliport	43.55199814	-76.09020233
Dorlon Airpark	41.28839874	-81.96260071
Hawk Haven Airport	35.85340118	-97.56749725
Peacock Ranch Airport	45.44150162	-117.3509979
Philadelphia Market Street Heliport	39.95479965	-75.17819977
State Police Area Iii Heliport	40.30009842	-76.85800171
Mills Brothers Airport	40.14279938	-77.86190033
Vernonia Airfield	45.85150146	-123.2419968
Brandes Air Field	29.8090992	-96.26509857
Hilde-Griff Field	30.7220993	-97.79139709
Thurmond Glenn Field	35.55699921	-89.55290222
Dew Drop Airport	33.12929916	-97.3585968
Circle 'A' Ranch Airport	32.12919998	-97.40419769
Oljato Airport	37.03329849	-110.3170013
Blanca Airport	37.41109848	-105.552002
Providence Airport	37.2242012	-78.41860199
Port of Highgate Springs Heliport	45.01330185	-73.08670044
Sacred Heart Medical Center Helistop	47.64820099	-117.4140015
Ames Private Airport	42.65110016	-88.74590302
Flat Creek Field	48.702222	-118.0475
Johnson Memorial Airport	33.07929993	-91.54319763
Henning Municipal Airport	46.30379868	-95.4394989
June Lake Airpark	61.627619	-149.575331
Brown Stagefield Army Heliport	31.38839912	-85.97239685
Bondair Airport	35.54449844	-92.18489838
Mercy Gilbert Medical Center Heliport	33.28580093	-111.7529984
Lucky Landing Marina and Seaplane Base	44.9070015	-68.80500031
Sce Solar I Heliport	34.87080002	-116.8339996
Abc7-Tv Heliport	35.15719986	-118.2890015
Jecan Airport	37.38750076	-103.6910019
William P Gwinn Airport	26.90839958	-80.3289032
Grass Roots Airpark	28.64170074	-81.88500214
Morton Plant Hospital Heliport	27.95339966	-82.8042984
Smith Heliport	33.7533989	-84.16210175
Patoka Reservoir Landing Area Seaplane Base	38.4333992	-86.69110107
Rich Field	41.84140015	-91.83429718
Larkin Airport	43.46269989	-116.3590012
Humm Airport	41.59949875	-88.86990356
Ellis Fly-In Airport	39.28279877	-87.3035965
Sinele Strip	40.54639816	-91.27429962
Riverside Hospital Airlift Heliport	37.69580078	-97.37249756
Falcon Heliport	37.52590179	-83.34519958
Panther Helicopters Inc Heliport	29.84600067	-90.02780151
Hammersmith Heliport	41.87360001	-88.49690247
Tembec Heliport	30.70789909	-91.32019806
The Barn Heliport	42.69060135	-71.60900116
Bayview Heliport	39.29140091	-76.5463028
W A Foote Memorial Hospital Heliport	42.25109863	-84.3914032
Pike Field Airport	47.65190125	-92.41670227
Noahs Ark Airport	39.23059845	-94.80439758
Torgerson Airport	48.55830002	-112.1090012
Randall Airport	41.43199921	-74.39160156
Tailwinds Airport	34.82749939	-78.93029785
Fitterer's Strip	46.74890137	-101.6689987
St Marys Hospital Heliport	40.68000031	-95.86170197
Cole Farm Airport	42.92839813	-70.97309875
Chemical Bank - New Jersey Na Heliport	39.95009995	-74.99960327
Murphy Field	42.84280014	-76.44529724
Saint Elizabeth Medical Center Heliport	41.1147995	-80.65699768
Hal Joy Airfield	41.50979996	-80.59120178
Green Acres Airport	39.73479843	-84.38220215
Albert Lodge Heliport	36.54169846	-94.83360291
Hayden Mountain Airport	45.46509933	-123.0800018
Freefall Oz Airport	42.00839996	-78.25810242
Schiavoni Heliport	40.382733	-76.772533
Cherokee Island Castle Heliport	40.40230179	-79.9213028
Grawunder Field	29.94190025	-96.24610138
Beyer Farm Airport	37.58390045	-97.25309753
Glaser Field	30.90850067	-97.11689758
Ainsworth Airport	30.31270027	-95.02690125
Hunter STOLport	35.69729996	-86.95690155
Roscoe Mc Connico Airport	32.12070084	-96.17910004
Diamond N Ranch Airport	30.05760002	-95.81289673
Mount Horeb Field	38.24900055	-78.8553009
N A Degerstrom Yard Heliport	47.68629837	-117.197998
Young Private Airport	45.66270065	-92.45020294
Western Airpark	46.92499924	-122.5530014
Campbell Field	33.3246994	-97.04419708
Herman Municipal Airport	45.83000183	-96.16059875
Tac X Stagefield Army Heliport	31.12520027	-85.97910309
Morrilton Airport	35.19449997	-92.80020142
John C Lincoln Hospital Heliport	33.56669998	-112.0690002
Blue Hill Airport	44.44800186	-68.56970215
West Side Hospital Heliport	35.13890076	-119.4509964
Richvale Airport	39.49769974	-121.7710037
Comanche Creek Airport	39.2635994	-104.427002
Tnt Heliport	41.45289993	-72.24960327
Tackaberry Airport	43.0644989	-82.72380066
Ocean Reef Club Airport	25.3253994	-80.27480316
Flying G Ranch STOLport	30.41799927	-83.28379822
Southwest Florida Regional Medical Center Heliport	26.60540009	-81.85949707
Alcovy Airport	33.67499924	-83.76309967
Lake Monroe Seaplane Base	39.05870056	-86.44609833
Interstate Airport	42.27819824	-113.3050003
St Vincent Jennings Hospital Heliport	39.01060104	-85.64080048
Gray Airport	39.57369995	-85.91390228
Central City Municipal - Larry Reineke Field	41.11259842	-98.05169678
Heape Field	37.73419952	-96.93669891
